source,Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Month,Year,playlist_month
Months/april_2018.csv,0Ncn23ImrJf7J4Wib9Fd8I,"3WiytRnvoL0kT3oAGl9TCt,2EW0ELDBawKHcX4lQyAj0M",Waiting (PAL Remix),Skisser / Remixed,"Alice Boman,PAL",2013-11-07,314285,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-04-09T01:37:47Z,"malmo indie,swedish singer-songwriter",0.277,0.36,3,-18.376,1,0.032,0.767,0.709,0.1,0.231,167.981,4,april,2018,2018-04-01
Months/april_2018.csv,4AH8GJVosfrbfhe5NVTAnx,7BMccF0hQFBpP6417k1OtQ,Easy Rider,Mr. Wonderful,Action Bronson,2015-03-23,259301,54,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-04-09T01:37:57Z,"alternative hip hop,east coast hip hop,escape room,hip hop,nyc rap,queens hip hop,rap,underground hip hop",0.422,0.851,11,-4.031,1,0.0398,0.0339,0,0.152,0.667,93.649,4,april,2018,2018-04-01
Months/april_2018.csv,1mQI744KrltnCU798zIGEe,"0AsThoR4KZSVktALiNcQwW,2P5sC9cVZDToPxyomzF1UH",Happy Without Me (feat. Joey Bada$$),The Kids Are Alright,"Chloe x Halle,Joey Bada$$",2018-03-23,206946,53,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-04-09T01:38:08Z,"alternative r&b,dance pop,pop,pop rap,post-teen pop,r&b,conscious hip hop,hip hop,rap,underground hip hop",0.57,0.576,1,-6.792,1,0.0631,0.228,0,0.33,0.438,143.943,4,april,2018,2018-04-01
Months/april_2018.csv,3XlCxQd1OHi4mgrUa1uA18,0WOxhx4hikIsyF3CRPLC8W,PROVE IT,Dex Meets Dexter,Famous Dex,2018-04-06,208747,35,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-04-09T01:38:19Z,"chicago rap,drill,pop rap,rap,southern hip hop,trap,underground hip hop,vapor trap",0.711,0.515,11,-9.8,0,0.116,0.157,0,0.346,0.261,119.917,4,april,2018,2018-04-01
Months/april_2018.csv,0JP9xo3adEtGSdUEISiszL,15UsOTVnJzReFVN1VCnxy4,Moonlight,?,XXXTENTACION,2018-03-16,135090,84,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-04-09T01:38:26Z,"emo rap,miami hip hop",0.921,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,4,april,2018,2018-04-01
Months/april_2018.csv,0ug6dKmcgoe4qeEgxhuq7f,0H39MdGGX6dbnnQPt6NQkZ,Selfish,Collection One,SAINt JHN,2018-03-30,234970,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-04-09T01:38:48Z,"melodic rap,pop rap,rap,slap house,trap",0.691,0.553,1,-7.107,1,0.0341,0.377,0.00409,0.108,0.158,102.045,4,april,2018,2018-04-01
Months/april_2018.csv,6dnrppGRbt8fie18Lcd9Dd,2jku7tDXc6XoB6MO2hFuqg,B.I.D,MEMORIES DON'T DIE,Tory Lanez,2018-03-02,164133,56,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-04-09T01:39:09Z,"canadian hip hop,canadian trap,hip hop,melodic rap,pop rap,r&b,rap,toronto rap,trap",0.767,0.689,10,-5.573,0,0.0852,0.103,0,0.0786,0.555,154.957,4,april,2018,2018-04-01
Months/april_2018.csv,4XcgXoa8qLuT7qVjMEbU0G,0H39MdGGX6dbnnQPt6NQkZ,Roses,Roses,SAINt JHN,2016-07-22,173610,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-04-09T01:39:18Z,"melodic rap,pop rap,rap,slap house,trap",0.782,0.5,5,-6.473,0,0.0611,0.342,2.05e-5,0.133,0.281,102.001,4,april,2018,2018-04-01
Months/april_2018.csv,1cTZMwcBJT0Ka3UJPXOeeN,3TVXtAsR1Inumwj472S9r4,Nice For What,Nice For What,Drake,2018-04-06,210925,2,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-05-02T00:58:54Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap,toronto rap",0.567,0.913,8,-6.471,1,0.0736,0.0934,1.24e-4,0.114,0.792,93.35,4,april,2018,2018-04-01
Months/april_2018.csv,0hJS3EHWC4uL9sJ52ErpoN,4hz8tIajF2INpgM0qzPJz2,Hide,"How to: Friend, Love, Freefall",Rainbow Kitten Surprise,2018-04-06,192013,54,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-05-02T00:59:18Z,"indie folk,modern alternative rock,modern rock,stomp and holler",0.799,0.497,4,-6.57,1,0.141,0.0745,1.28e-5,0.174,0.488,115.157,4,april,2018,2018-04-01
Months/april_2018.csv,6fc51JZVE0Yijdi6RuoLFv,4hz8tIajF2INpgM0qzPJz2,Painkillers,"How to: Friend, Love, Freefall",Rainbow Kitten Surprise,2018-04-06,213973,58,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-05-02T00:59:22Z,"indie folk,modern alternative rock,modern rock,stomp and holler",0.754,0.405,7,-11.547,1,0.0378,0.466,0.00179,0.1,0.0843,114.938,4,april,2018,2018-04-01
Months/april_2018.csv,5ZcdHrEQeEDuBOmKiI4UzC,7J4Pg0NGyrWoMrROYhnlP6,Shyne,Shyne,Biskwiq,2018-02-04,132832,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-05-02T00:59:35Z,NA,0.702,0.931,1,-3.806,1,0.36,0.0167,0,0.103,0.723,144.581,4,april,2018,2018-04-01
Months/april_2018.csv,33VMTetuTqRvMf5gm3CVbL,4yWpiD64QKqZiiEq6Cze8T,Lost in Your Soul,If Tomorrow Never Comes,Anthro Beats,2014-12-12,179066,11,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-05-02T00:59:49Z,NA,0.479,0.362,2,-10.831,1,0.172,0.0152,0.0662,0.114,0.172,83.363,4,april,2018,2018-04-01
Months/april_2018.csv,4bjyZ6vkXmWB7eGPS4TF7H,2Tglaf8nvDzwSQnpSrjLHP,CR-V,CR-V,Cuco,2018-04-06,147692,49,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-05-02T01:00:04Z,"bedroom pop,dream pop",0.825,0.753,10,-8.228,0,0.0447,0.422,4.16e-6,0.0385,0.904,130.006,4,april,2018,2018-04-01
Months/april_2018.csv,40eWgohHbnl5rOHXLpsEen,0PFM64sKw3GG4Sk8kqNIcp,My Love,Until the Ribbon Breaks,Until The Ribbon Breaks,2018-02-23,174806,43,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-05-02T01:00:31Z,vapor pop,0.668,0.426,1,-7.114,1,0.0346,0.448,5.54e-6,0.0878,0.209,135.079,4,april,2018,2018-04-01
Months/april_2018.csv,6FBzhcfgGacfXF3AmtfEaX,57vWImR43h4CaDao012Ofp,C U Girl,C U Girl,Steve Lacy,2015-02-15,129697,71,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-05-02T01:00:39Z,"afrofuturism,alternative r&b,rap",0.414,0.473,11,-8.911,0,0.116,0.663,0.0523,0.128,0.409,100,4,april,2018,2018-04-01
Months/april_2018.csv,77RcD8dc0aOHhGWxPX943C,2Tglaf8nvDzwSQnpSrjLHP,Lava Lamp,Songs4u,Cuco,2017-01-28,308500,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-05-02T01:00:50Z,"bedroom pop,dream pop",0.516,0.622,5,-5.472,0,0.0354,0.518,0.00158,0.12,0.0964,119.815,3,april,2018,2018-04-01
Months/april_2018.csv,6tZ3b7ik1QDXFAZlXib0YZ,6l3HvQ5sa6mXTsMTB19rO5,Kevin’s Heart,KOD,J. Cole,2018-04-20,200309,73,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-05-02T01:01:39Z,"conscious hip hop,north carolina hip hop,rap",0.829,0.527,6,-6.644,0,0.367,0.482,0,0.631,0.475,116.079,4,april,2018,2018-04-01
Months/april_2018.csv,0xDqsk2flEdCrGEiGRbPz2,3K2Srho6NCF3o9MswGR76H,All In,All In,Bakar,2018-04-06,169080,31,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-05-02T01:01:04Z,uk alternative hip hop,0.421,0.625,2,-7.887,1,0.161,0.49,0,0.111,0.617,175.482,5,april,2018,2018-04-01
Months/april_2018.csv,5G2Q4Vx9zwBAdQoEWgM8uX,6eAUAR4N9NOpirukqdIzVI,Mirror,Mirror,Madison Ryann Ward,2018-04-06,194746,59,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-05-02T01:01:28Z,alternative r&b,0.646,0.42,6,-6.21,1,0.084,0.43,0,0.107,0.0925,129.468,3,april,2018,2018-04-01
Months/april_2018.csv,0bhnUFDQFCEHCBlsQfHnj5,6l3HvQ5sa6mXTsMTB19rO5,Photograph,KOD,J. Cole,2018-04-20,218953,65,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-05-02T01:01:52Z,"conscious hip hop,north carolina hip hop,rap",0.691,0.487,1,-6.416,1,0.268,0.0299,0,0.0868,0.358,104.98,3,april,2018,2018-04-01
Months/april_2018.csv,3ZYwSDF9knZI0RVlKR4PHC,"13ubrt8QOOCPljQ2FL1Kca,4TEJudQY2pXxVHPE3gD2EU",Bad Company (feat. BlocBoy JB),Bad Company (feat. BlocBoy JB),"A$AP Rocky,BlocBoy JB",2018-03-28,183809,60,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-05-02T01:02:02Z,"east coast hip hop,hip hop,rap,trap,memphis hip hop,southern hip hop,tennessee hip hop,vapor trap",0.901,0.529,8,-7.94,1,0.413,0.0679,0,0.536,0.343,144.941,4,april,2018,2018-04-01
Months/april_2018.csv,3f3HHRPF5vAo90GwdpDMaQ,3C8RpaI3Go0yFF9whvKoED,Because I’m Me,Wildflower,The Avalanches,2016-07-08,252800,59,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2018-05-02T01:02:33Z,"alternative dance,australian alternative rock,australian dance,collage pop,electronica,new rave,psychedelic hip hop",0.472,0.805,8,-5.793,1,0.086,0.0491,0.0162,0.337,0.512,94.922,4,april,2018,2018-04-01
Months/april_2019.csv,2drEUEg0TYQR6dDEHkpuPE,5INjqkS1o8h1imAzPqGZBb,Patience,Patience,Tame Impala,2019-03-22,292267,63,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-04-21T21:45:10Z,"australian psych,neo-psychedelic",0.546,0.859,1,-5.966,1,0.0306,0.00223,9.47e-4,0.0529,0.645,99.965,4,april,2019,2019-04-01
Months/april_2019.csv,09oZ9eXQ2fo6YDrPzJqAoP,"6LuN9FCkKOj5PcnpouEgny,0hEurMDQu99nJRq8pTxO14",Outta My Head (with John Mayer),Free Spirit,"Khalid,John Mayer",2019-04-05,177066,68,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-04-21T21:45:15Z,"pop,neo mellow,pop rock,singer-songwriter",0.729,0.545,0,-7.818,1,0.0316,0.0174,2.74e-4,0.369,0.514,103.012,4,april,2019,2019-04-01
Months/april_2019.csv,5LyuIwwjlluDlk7Idjny7t,6iWuBN32BqCJAeXW6o3nil,SOMETHING FOR NOTHING,Table of Context,Cautious Clay,2019-03-27,166706,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-04-21T21:45:46Z,"alternative r&b,chill r&b,indie r&b,nyc pop,pop",0.425,0.402,2,-8.581,1,0.0418,0.233,8.55e-6,0.113,0.15,166.813,4,april,2019,2019-04-01
Months/april_2019.csv,4SBVWkRIMJ6WBCYPvr5Bwr,"3jK9MiCrA42lLAdMGUZpwa,0h9smro0z3HqUbD94jotU8",Make It Better (feat. Smokey Robinson),Ventura,"Anderson .Paak,Smokey Robinson",2019-04-12,219332,69,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-04-21T21:54:41Z,"escape room,classic soul,disco,funk,motown,quiet storm,soul",0.676,0.56,4,-6.024,0,0.0643,0.0112,0.00403,0.137,0.551,178.555,4,april,2019,2019-04-01
Months/april_2019.csv,7xAE36UUNgyDJDIM4yiucY,"6vfR5QRc3xca0KvpG8KZBE,6qgnBH6iDM91ipVXv28OMu",Be Your Girl (Kaytranada Edition),Be Your Girl (Kaytranada Edition),"Teedra Moses,KAYTRANADA",2018-05-04,268087,1,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-04-21T21:55:04Z,"alternative r&b,hip pop,neo soul,r&b,urban contemporary,escape room,indie soul,lgbtq+ hip hop",0.866,0.679,6,-6.74,0,0.388,0.214,4.8e-6,0.101,0.272,115.015,4,april,2019,2019-04-01
Months/april_2019.csv,70kjLeuW46xJ5pqzYRLHAf,4lPl9gqgox3JDiaJ1yklKh,Unemployed,Unemployed,Tierra Whack,2019-03-19,168661,49,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-04-21T21:50:35Z,"alternative r&b,escape room,indie soul",0.875,0.375,2,-6.669,1,0.724,0.0366,2.17e-6,0.111,0.139,153.84,4,april,2019,2019-04-01
Months/april_2019.csv,2drEUEg0TYQR6dDEHkpuPE,5INjqkS1o8h1imAzPqGZBb,Patience,Patience,Tame Impala,2019-03-22,292267,63,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-04-21T21:49:11Z,"australian psych,neo-psychedelic",0.546,0.859,1,-5.966,1,0.0306,0.00223,9.47e-4,0.0529,0.645,99.965,4,april,2019,2019-04-01
Months/april_2019.csv,6eSTuG07FIPpLkekbpYIsZ,"5MbNzCW3qokGyoo9giHA3V,6U3ybJ9UHNKEdsH7ktGBZ7",Momma Told Me,Strays with Rabies,"EARTHGANG,JID",2015-11-05,234893,44,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-04-21T21:46:47Z,"atl hip hop,hip hop,psychedelic hip hop,rap,underground hip hop",0.572,0.79,0,-6.573,1,0.461,0.438,0,0.989,0.416,79.87,4,april,2019,2019-04-01
Months/april_2019.csv,4YWxVzFG5NwMhEzZoleu4Q,1ucnou2dDilxT5cxuv4um6,Bad,Bad,Oya Noire,2019-03-12,196121,14,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-04-21T21:50:19Z,alternative r&b,0.619,0.595,9,-6.477,0,0.255,0.592,6.04e-6,0.141,0.578,175.844,4,april,2019,2019-04-01
Months/april_2019.csv,2AF5Kzxb4pz7j79Ity84pP,07D1Bjaof0NFlU32KXiqUP,Night Shift,Historian,Lucy Dacus,2018-03-02,391829,5,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-04-21T21:47:41Z,"art pop,bubblegrunge,chamber pop,indie folk,indie pop,indie rock",0.48,0.31,9,-7.887,1,0.0258,0.312,1.47e-5,0.113,0.16,86.149,4,april,2019,2019-04-01
Months/april_2019.csv,4QIo4oxwzzafcBWkKjDpXY,6qqNVTkY8uBg9cP3Jd7DAH,xanny,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,243725,76,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-04-21T21:46:34Z,"electropop,pop",0.521,0.125,9,-17.832,1,0.239,0.751,0.00207,0.265,0.0528,111.554,4,april,2019,2019-04-01
Months/april_2019.csv,4EFrL3k1dyCM9bQNN7Y5Pn,0zanHkxN0P38oWegA8iSQA,Ngaf,He's Not Mine,Etta Bond,2019-03-15,231914,23,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-04-21T21:47:59Z,"alternative r&b,chill r&b,indie r&b,uk contemporary r&b",0.723,0.454,5,-7.336,0,0.0803,0.533,0.137,0.119,0.325,141.052,4,april,2019,2019-04-01
Months/april_2019.csv,7HA5TXzVynXAklGawTjtHN,"2fFSi6tKHpCOPSDZZ5JMRi,5GymSV8DcM9gZFTgx8AY5g",Weightless,Hodgepodge,"Samurai Del,Kristin Henry",2017-02-26,214666,2,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-04-21T21:46:13Z,NA,0.44,0.498,7,-8.803,0,0.292,0.533,0.486,0.107,0.477,79.744,4,april,2019,2019-04-01
Months/april_2019.csv,2yE3omg2KMRfFw4ukBlDIJ,5lDtfHPqWN6MG9tFywnW8J,Socially Awkward,Happysad,Kiefer,2018-06-08,142044,43,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-04-21T21:47:02Z,"indie jazz,indie soul,neo r&b",0.735,0.508,1,-6.437,1,0.0884,0.554,0.646,0.0995,0.767,90.494,4,april,2019,2019-04-01
Months/april_2019.csv,3lTRL3t2OQD9Z4TKNvMNZj,4UfJMiu878W1bQhjsuRj4t,Faking Bright,Faking Bright,Saski,2016-07-20,200339,42,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-04-21T21:47:12Z,"electropop,indie electropop",0.852,0.156,6,-9.703,1,0.221,0.757,0.0893,0.11,0.26,118.035,4,april,2019,2019-04-01
Months/april_2019.csv,3TTWpDAiJfyoJDd5v2F8C3,"0GG2cWaonE4JPrjcCCQ1EG,3l0CmX0FuQjFxr8SK7Vqag",Throwaway (with Clairo),Throwaway (with Clairo),"SG Lewis,Clairo",2019-03-20,180000,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-04-21T21:48:34Z,"alternative r&b,indie soul,uk dance,vapor soul,bedroom pop,pop",0.789,0.49,2,-6.588,1,0.0392,0.784,5.98e-4,0.112,0.869,140.034,4,april,2019,2019-04-01
Months/april_2019.csv,0joWz6mlWQtcREQzYurLVo,"1HjpNX0zNXYbHe38hMgDgZ,1weRXyXXSBxar799mDmQ2v",Elasto,Schwey,"Schwey,Artemis",2019-03-15,222626,46,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-04-21T21:47:51Z,NA,0.789,0.522,6,-6.646,0,0.115,0.46,0.00147,0.111,0.427,89.968,4,april,2019,2019-04-01
Months/april_2019.csv,3msiWvN1nfUIHOKoWgaf8l,0fDF0jjmdouCIeWhNnblwV,Angel Monster,Electric Tears,Buckethead,2002,307426,29,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-04-21T21:46:23Z,"funk metal,instrumental rock,neo classical metal,shred",0.384,0.238,8,-11.311,0,0.0432,0.963,0.857,0.101,0.288,177.691,4,april,2019,2019-04-01
Months/april_2019.csv,7FIPqtk1X9HFsYiCO3aQAK,"3koiLjNrgRTNbOwViDipeA,75jNCko3SnEMI5gwGqrbb8",Your Precious Love,Every Great Motown Hit Of Marvin Gaye,"Marvin Gaye,Tammi Terrell",1983-08-22,185466,25,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-04-21T21:46:01Z,"classic soul,funk,indie r&b,motown,northern soul,quiet storm,soul",0.431,0.402,10,-9.72,1,0.0332,0.309,0,0.0909,0.649,203.721,3,april,2019,2019-04-01
Months/april_2019.csv,0QV5wLA5H9KvzjHfasNUlA,"6i3sYlO1zUHf5IWHpXt4Sl,0pjsDjQe3YLIUUmdTOVrpZ",PINK + YELLOW,CHROMATIC,"KALLITECHNIS,Andrew Void",2019-01-18,196506,15,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-04-21T21:48:11Z,"alternative r&b,canadian contemporary r&b,chill r&b,indie r&b,montreal indie",0.666,0.382,10,-10.603,0,0.0428,0.526,3.81e-6,0.124,0.238,120.017,4,april,2019,2019-04-01
Months/april_2019.csv,5KAzF1lJWJgtUkkO0z4AMC,4p75GTNEXwsAAkpweMVtKo,interstellar house mix,interstellar,Monte Booker,2019-01-31,310723,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-04-21T21:48:21Z,"underground hip hop,viral rap",0.685,0.462,1,-14.054,1,0.102,0.0574,0.0545,0.0878,0.265,112,4,april,2019,2019-04-01
Months/april_2019.csv,35Rbqn962gEydsN1VKOC3T,"5usbqiU7sjvszjWecANDL6,6U3ybJ9UHNKEdsH7ktGBZ7",Soho (feat. JID),Everythings For Sale,"WESTSIDE BOOGIE,JID",2019-01-25,133306,52,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-04-21T21:48:43Z,"hip hop,rap,underground hip hop",0.792,0.603,5,-7.216,0,0.362,0.252,0,0.08,0.515,137.088,4,april,2019,2019-04-01
Months/april_2019.csv,3AN70xkC9i9fFBpKlukRhY,3jK9MiCrA42lLAdMGUZpwa,Winners Circle,Ventura,Anderson .Paak,2019-04-12,209237,55,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-04-21T21:54:30Z,escape room,0.764,0.591,2,-8.81,1,0.307,0.182,8.32e-6,0.396,0.694,94.089,4,april,2019,2019-04-01
Months/april_2019.csv,6bxtai04eVsvV7IZGqOXMy,4tRZRfhgfLEIUI9mw9Njy2,Mornin Dew,Satin Psicodelic,Sunni Colón,2018-08-29,324130,51,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-04-21T21:48:53Z,"alternative r&b,indie r&b,indie soul",0.471,0.466,7,-11.466,0,0.0469,0.183,0.725,0.121,0.104,102.988,4,april,2019,2019-04-01
Months/april_2019.csv,4SSnFejRGlZikf02HLewEF,6qqNVTkY8uBg9cP3Jd7DAH,bury a friend,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,193143,79,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-04-21T21:49:03Z,"electropop,pop",0.905,0.389,8,-14.505,1,0.332,0.74,0.162,0.106,0.196,120.046,4,april,2019,2019-04-01
Months/april_2019.csv,3wdMU2LKZY1fLtWztS1uYf,294lNTPZfdqyzt8qnxmFiL,Black Truck - extended version,The Jungle Is The Only Way Out,Mereba,2019-02-27,293706,39,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-04-21T21:49:25Z,"alternative r&b,chill r&b,escape room,indie r&b,indie soul,r&b",0.486,0.642,11,-9.971,1,0.153,0.158,0.00368,0.121,0.212,171.985,4,april,2019,2019-04-01
Months/april_2019.csv,0EgmhYPgButfoBvtnidyR0,1EpyA68dKpjf7jXmQL88Hy,Song 32,Song 32,Noname,2019-04-05,162496,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-04-21T21:49:32Z,"alternative r&b,chicago rap,escape room,hip hop,indie soul,neo soul,underground hip hop",0.869,0.479,1,-9.695,1,0.128,0.0374,0.0168,0.0641,0.388,91.757,4,april,2019,2019-04-01
Months/april_2019.csv,5BeS2mGbdYVfS53Q6bVinG,5XMyhVhi5ZN2pi0Qwi1zXS,Two Nights,Reminiscence EP,Joy Crookes,2019-01-25,186000,47,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-04-21T21:49:54Z,"alternative r&b,indie r&b,indie soul,uk contemporary r&b",0.637,0.663,0,-6.003,0,0.058,0.0906,0,0.0773,0.594,159.919,4,april,2019,2019-04-01
Months/april_2019.csv,58xnwDr9U6UnZD6OAqUWzD,7CeUn1UNtIFSZIIBNXV8jk,Morning Glory,Morning Glory,Liza,2019-02-04,178693,36,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2019-04-21T21:50:09Z,"canadian contemporary r&b,indie r&b",0.602,0.12,8,-16.382,0,0.0978,0.619,4.94e-4,0.103,0.448,76.78,3,april,2019,2019-04-01
